Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,PCT_SE_A04001_002,PCT_SE_A04001_003,PCT_SE_A04001_004,PCT_SE_A04001_005,PCT_SE_A04001_006,PCT_SE_A04001_007,PCT_SE_A04001_008,PCT_SE_A04001_009,PCT_SE_A04001_010,PCT_SE_A04001_011,PCT_SE_A04001_012,PCT_SE_A04001_013,PCT_SE_A04001_014,PCT_SE_A04001_015,PCT_SE_A04001_016,PCT_SE_A04001_017
"06075061503","Census Tract 615.03, San Francisco County, California","ca","140","00",,,,"06","075",,,"061503",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061503","Census Tract 615.03",,,,3612,3073,1229,9,0,1813,0,0,22,539,93,0,30,0,0,267,149,85.08,34.03,0.25,0,50.19,0,0,0.61,14.92,2.57,0,0.83,0,0,7.39,4.13
"06075061504","Census Tract 615.04, San Francisco County, California","ca","140","00",,,,"06","075",,,"061504",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061504","Census Tract 615.04",,,,2133,2006,390,6,0,1501,75,0,34,127,87,9,0,0,0,31,0,94.05,18.28,0.28,0,70.37,3.52,0,1.59,5.95,4.08,0.42,0,0,0,1.45,0
"06075061505","Census Tract 615.05, San Francisco County, California","ca","140","00",,,,"06","075",,,"061505",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061505","Census Tract 615.05",,,,1162,1082,291,63,0,698,0,0,30,80,66,0,0,0,0,14,0,93.12,25.04,5.42,0,60.07,0,0,2.58,6.88,5.68,0,0,0,0,1.2,0
"06075061506","Census Tract 615.06, San Francisco County, California","ca","140","00",,,,"06","075",,,"061506",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061506","Census Tract 615.06",,,,4918,4757,1874,177,0,2444,0,0,262,161,161,0,0,0,0,0,0,96.73,38.1,3.6,0,49.69,0,0,5.33,3.27,3.27,0,0,0,0,0,0
"06075061507","Census Tract 615.07, San Francisco County, California","ca","140","00",,,,"06","075",,,"061507",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061507","Census Tract 615.07",,,,1550,1221,401,11,0,809,0,0,0,329,137,0,0,12,0,33,147,78.77,25.87,0.71,0,52.19,0,0,0,21.23,8.84,0,0,0.77,0,2.13,9.48
"06075061508","Census Tract 615.08, San Francisco County, California","ca","140","00",,,,"06","075",,,"061508",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075061508","Census Tract 615.08",,,,2018,1828,861,62,10,787,17,18,73,190,0,0,0,0,0,56,134,90.58,42.67,3.07,0.5,39,0.84,0.89,3.62,9.42,0,0,0,0,0,2.78,6.64
"06075980200","Census Tract 9802, San Francisco County, California","ca","140","00",,,,"06","075",,,"980200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980200","Census Tract 9802",,,,179,162,32,45,0,58,0,23,4,17,0,0,0,0,0,17,0,90.5,17.88,25.14,0,32.4,0,12.85,2.23,9.5,0,0,0,0,0,9.5,0
"06075980300","Census Tract 9803, San Francisco County, California","ca","140","00",,,,"06","075",,,"980300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980300","Census Tract 9803",,,,49,42,37,0,0,0,0,0,5,7,0,0,0,0,0,0,7,85.71,75.51,0,0,0,0,0,10.2,14.29,0,0,0,0,0,0,14.29
"06075980401","Census Tract 9804.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"980401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980401","Census Tract 9804.01",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
"06075980501","Census Tract 9805.01, San Francisco County, California","ca","140","00",,,,"06","075",,,"980501",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980501","Census Tract 9805.01",,,,155,155,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"06075980600","Census Tract 9806, San Francisco County, California","ca","140","00",,,,"06","075",,,"980600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980600","Census Tract 9806",,,,1290,1096,242,288,0,463,0,1,102,194,12,0,48,0,0,77,57,84.96,18.76,22.33,0,35.89,0,0.08,7.91,15.04,0.93,0,3.72,0,0,5.97,4.42
"06075980900","Census Tract 9809, San Francisco County, California","ca","140","00",,,,"06","075",,,"980900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075980900","Census Tract 9809",,,,322,302,32,27,0,214,0,0,29,20,3,0,0,0,0,17,0,93.79,9.94,8.39,0,66.46,0,0,9.01,6.21,0.93,0,0,0,0,5.28,0
"06075990100","Census Tract 9901, San Francisco County, California","ca","140","00",,,,"06","075",,,"990100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075990100","Census Tract 9901",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
"06075990200","Census Tract 9902, San Francisco County, California","ca","140","00",,,,"06","075",,,"990200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06075990200","Census Tract 9902",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
